Estimate summary,,,,,,,,,
Upfront cost,Monthly cost,Total 12 months cost,Currency,,,,,,
0,18798.52,225582.24,USD,,,,,,
,,* Includes upfront cost,,,,,,,
,,,,,,,,,
,,,,,,,,,
Detailed Estimate,,,,,,,,,
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Configuration summary,
My Estimate,US East (N. Virginia),,Amazon CloudFront,0,525,6300,USD,"Data transfer out to internet (5000 GB per month), Data transfer out to origin (5000 GB per month)",
My Estimate,US East (N. Virginia),,S3 Standard,0,284,3408,USD,S3 Standard storage (10000 GB per month),
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0,USD,"DT Inbound: Internet (10 TB per month), DT Outbound: Amazon CloudFront (10 TB per month)",
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,9401.3,112815.6,USD,"Tenancy (Dedicated Instances), Operating system (Linux), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month), Workload (Consistent, Number of instances: 50), Enable monitoring (disabled), Advance EC2 instance (a1.2xlarge), Pricing strategy (), Storage amount (10 GB), Snapshot Frequency (No snapshot storage)",
My Estimate,US East (N. Virginia),,Amazon Aurora MySQL-Compatible,0,7796.94,93563.28,USD,"Change records per statement (0.38), Instance Type (db.r5.8xlarge), Nodes (2), Utilization (100 %Utilized/Month), Instance Family (Memory optimized), Pricing Model (OnDemand), Storage amount (1000 GB), Additional backup storage (10000 GB)",
My Estimate,US East (N. Virginia),,VPN Connection,0,0,0,USD,Working days per month (22),
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,482.85,5794.2,USD,Number of NAT Gateways (1),
My Estimate,US East (N. Virginia),,Application Load Balancer,0,308.43,3701.16,USD,Number of Application Load Balancers (1),
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Acknowledgement,,,,,,,,,
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services.",,,,,,,,,
,,,,,,,,,
,,,,,,,,,
"To meet the $20,000 monthly target, we can make further adjustments to the infrastructure and services:",,,,,,,,,
1,Increase the number of web and application server instances to a minimum required to handle the expected user load.,,,,,,,,
2,Use larger instances size for the Aurora instances.,,,,,,,,
